CtNumero,NU_ProcessoLicitacao,CtVigenciaInicio,CtVigenciaTermino2,Tempo,OrNome,Credor,ObNome,CtValorTotal,Textbox7,CtValorTotal1
019//2022,25.000.009515.2022,27/10/2022,25/04/2023,6,SES - 25.0001,34.770.156/0001-73 - LAPTOP COMÉRCIO DE PRODUTOS DE  INFORMÁTICA EIRELI,EQUIPAMENTOS E SOFTWARES DE INFORMÁTICA,"68.954,00",4.316 CONTRATOS,"7.765.015.650,79"
0203/2022,31.206.016364.2022,27/10/2022,27/10/2023,12,CAGEPA - 31.0601,28.672.087/0028-82 - SAINT-GOBAIN CANALIZAÇÃO LTDA,MATERIAL DE USO ESPECÍFICO,"15.306.346,00",4.316 CONTRATOS,"7.765.015.650,79"
021//2022,25.000.009315.2022,27/10/2022,05/07/2023,9,SES - 25.0001,04.602.789/0001-01 - DATEN TECNOLOGIA LTDA.,EQUIPAMENTOS E SOFTWARES DE INFORMÁTICA,"11.115.777,00",4.316 CONTRATOS,"7.765.015.650,79"
0394/2022,25.000.001835.2022,27/10/2022,31/12/2022,2,SES - 25.0001,05.235.633/0001-00 - PROIBRAS LTDA EPP,MATERIAL MÉDICO-HOSPITALAR,"390.000,00",4.316 CONTRATOS,"7.765.015.650,79"
0395/2022,25.000.004190.2022,27/10/2022,31/12/2022,2,SES - 25.0001,07.807.909/0001-03 - TRIUNFO CONSTRUÇÕES LTDA - EPP,MATERIAL PARA MANUTENÇÃO DE BENS IMÓVEIS,"10.248,05",4.316 CONTRATOS,"7.765.015.650,79"
0396/2022,25.000.004190.2022,27/10/2022,25/04/2023,6,SES - 25.0001,07.190.090/0001-70 - DISTRIBUIDORA MACBRAZ LTDA - EPP,MATERIAL PARA MANUTENÇÃO DE BENS IMÓVEIS,"26.499,25",4.316 CONTRATOS,"7.765.015.650,79"
0673/2022,19.000.003607.2020,27/10/2022,31/12/2022,2,SEDH - 27.0001,28.302.534/0001-91 - JSA COMÉRCIO E SERVIÇOS LTDA,MATERIAL DE USO ESPECÍFICO,"1.737,75",4.316 CONTRATOS,"7.765.015.650,79"
0006/2022,212050001492022,25/10/2022,20/10/2023,12,JUCEP - 21.0501,07.400.977/0001-45 - PLANTEK SERVIÇOS LTDA,MANUTENÇÃO E RECUPERAÇÃO,"47.880,00",4.316 CONTRATOS,"7.765.015.650,79"
0016/2022,19.000.006077.2019,25/10/2022,31/12/2022,2,SEPLAG - 37.0001,07.526.979/0001-85 - RAIMUNDO ADELMAR FONSECA PIRES-EPP,GÊNEROS ALIMENTÍCIOS,"2.040,00",4.316 CONTRATOS,"7.765.015.650,79"
0018/2022,07.000.000233.2022,25/10/2022,30/06/2023,8,SEJEL - 07.0001,09.139.551/0001-05 - SERVIÇO DE APOIO À MICRO E PEQUENAS EMPRESAS – SEBRAE/PB,SERVIÇO ESPECIALIZADO NA ÁREA DE EDUCAÇÃO E CULTURA,"138.600,00",4.316 CONTRATOS,"7.765.015.650,79"
0023/2022,31.000.001182.2022,24/10/2022,24/05/2024,19,SEIRH - 31.0001,40.610.677/0001-66 - GEOTECHNIQUE – CONSULTORIA E ENGENHARIA LTDA,OUTROS SERVIÇOS ESPECIALIZADOS,"1.424.744,48",4.316 CONTRATOS,"7.765.015.650,79"
0026/2022,28.000.000629.2022,24/10/2022,24/06/2023,8,PCOOPERAR - 28.0001,40.114.967/0001-19 - AETOS AUDITORIA DE EFICIÊNCIA E DESPERDÍCIOS LTDA,SERVIÇO ESPECIALIZADO,"500.000,00",4.316 CONTRATOS,"7.765.015.650,79"
0033/2022,19.000.0015769.2022,24/10/2022,31/12/2022,2,SEAP - 24.0001,11.442.327/0001-30 - RENATA VON STEIN EQUIPAMENTOS INDÚSTRIAIS LTDA,MÁQUINAS E EQUIPAMENTOS,"43.999,00",4.316 CONTRATOS,"7.765.015.650,79"
0048/2022,19.000.002875.2020,25/10/2022,31/12/2022,2,FUNDAC - 27.0101,08.591.679/0001-42 - AYRES E QUEIROZ LTDA,MATERIAL DE CONSUMO,"390,00",4.316 CONTRATOS,"7.765.015.650,79"
0049/2022,27.201.000462.2022,25/10/2022,31/12/2022,2,FUNDAC - 27.0101,12.811.487/0001-71 - MULTISUL COMÉRCIO E DISTRIBUIÇÃO LTDA,MATERIAL DE CONSUMO,"838,00",4.316 CONTRATOS,"7.765.015.650,79"
0050/2022,19.000.002875.2020,25/10/2022,31/12/2022,2,FUNDAC - 27.0101,22.280.916/0001-85 - NORDESTE POTENCIAL COMÉRCIO E SERVIÇOS EIRELI,MATERIAL DE CONSUMO,"16.364,00",4.316 CONTRATOS,"7.765.015.650,79"
0057/2022,31.205.005291.2022,24/10/2022,24/01/2023,3,SUDEMA - 34.0101,13.684.597/0001-82 - JARBAS DA FONSECA SILVA-ME,AQUISIÇÃO E INSTALAÇÃO DE MÁQUINAS E EQUIPAMENTOS,"10.300,00",4.316 CONTRATOS,"7.765.015.650,79"
0137/2022,25.203.000539.2022,25/10/2022,31/12/2022,2,MFD- 25.0301,01.687.725/0002-43 - CENTRO ESPECIALIZADO EM NUTRIÇÃO ENTERAL E PARENTERAL - CENEP,MATERIAL DE CONSUMO,"138.000,00",4.316 CONTRATOS,"7.765.015.650,79"
016//2022,25.000.009515.2022,25/10/2022,23/04/2023,6,SES - 25.0001,10.590.774/0001-73 - COLEPACK INDUSTRIA E COMERCIO DE EMBALAGENS EIRELI,EQUIPAMENTOS E SOFTWARES DE INFORMÁTICA,"79.580,00",4.316 CONTRATOS,"7.765.015.650,79"
0167/2022,25.203.000712.2022,25/10/2022,23/04/2023,6,MFD- 25.0301,15.353.461/0001-15 - ÂMBAR SERVIÇOS EIRELI - ME,SERVIÇO ESPECIALIZADO,"80.400,00",4.316 CONTRATOS,"7.765.015.650,79"
0169/2022,25.215.000073.2022,26/10/2022,31/12/2022,2,HEETSHL - 25.1501,08.116.472/0001-16 - LEEDSAY S/A,MATERIAL MÉDICO-HOSPITALAR,"52.320,00",4.316 CONTRATOS,"7.765.015.650,79"
0172/2022,25.215.000035.2022 ,26/10/2022,23/04/2023,6,HEETSHL - 25.1501,07.400.977/0001-45 - PLANTEK SERVIÇOS LTDA,MANUTENÇÃO E RECUPERAÇÃO,"210.000,00",4.316 CONTRATOS,"7.765.015.650,79"
0384/2022,25.000.007026.2022,25/10/2022,31/12/2022,2,SES - 25.0001,04.307.650/0012-98 - ONCO PROD DISTRIBUIDORA DE PRODUTOS HOSPITALARES E ONCOLOGICOS LTDA,MEDICAMENTOS,"2.302.625,40",4.316 CONTRATOS,"7.765.015.650,79"
0388/2022,25.000.007029.2022,24/10/2022,22/04/2023,6,SES - 25.0001,04.307.650/0025-02 - ONCO PROD DISTRIBUIDORA DE PRODUTOS HOSPITALARES E ONCOLÓGICOS LTDA,MEDICAMENTOS,"679.400,00",4.316 CONTRATOS,"7.765.015.650,79"
0389/2022,25.000.704562.2022,24/10/2022,24/10/2023,12,SES - 25.0001,12.086.330/0001-20 - MEGA SOLUÇÕES CIENTIFICAS E LOCAÇÃO EIRELI,SERVIÇOS,"71.640,00",4.316 CONTRATOS,"7.765.015.650,79"
0390/2022,25.000.003117.2022,24/10/2022,24/10/2023,12,SES - 25.0001,39.674.563/0001-09 - VIABILIZE SERVIÇOS DE ENGENHARIA E CONSTRUÇÃO EIRELI LTDA,SERVIÇO ESPECIALIZADO NA ÁREA DE ENGENHARIA,"466.273,72",4.316 CONTRATOS,"7.765.015.650,79"
0393/2022,25.000.004896.2022,26/10/2022,31/12/2022,2,SES - 25.0001,04.307.650/0025-02 - ONCO PROD DISTRIBUIDORA DE PRODUTOS HOSPITALARES E ONCOLÓGICOS LTDA,MEDICAMENTOS,"461.586,72",4.316 CONTRATOS,"7.765.015.650,79"
0009/2022,29.204.00278.2022,21/10/2022,01/07/2023,9,EPC - 29.0401,05.725.216/0001-38 - TELECOMUNICAÇÕES IDEAL INDUSTRIA E COMÉRCIO DE ANTENAS LTDA,MATERIAL PERMANENTE,"131.996,20",4.316 CONTRATOS,"7.765.015.650,79"
0011/2022,19.000.000752.2021,19/10/2022,31/12/2022,2,CCG - 09.0001,"16.631.594/0001-79 - DROP’S BUFFET, EVENTOS E ESCOLA GASTRONOMICA EIRELI",FORNECIMENTO DE REFEIÇÕES,"34.212,90",4.316 CONTRATOS,"7.765.015.650,79"
0013/2022,29.204.000246.2022,19/10/2022,19/10/2024,24,EPC - 29.0401,40.938.508/0001-50 - MAQ-LAREM MÁQUINAS MÓVEIS E QUIPAMENTOS LTDA,LOCAÇÃO DE MÁQUINAS E EQUIPAMENTOS,"298.320,00",4.316 CONTRATOS,"7.765.015.650,79"
0030/2022,259010000182021,21/10/2022,31/12/2022,2,SES CDC 25.3401,07.944.100/0001-15 - PROC9 INDUSTRIA QUIMICA LTDA,MATERIAL DE CONSUMO,"123.327,50",4.316 CONTRATOS,"7.765.015.650,79"
0031/2022,19.000.000973.2021 ,21/10/2022,31/12/2022,2,LACEN 25.3701,40.689.972/0001-50 - HYPER TECHNOLOGIES COMÉRCIO DE INFORMÁTICA E SERVIÇOS EIRELI ,MATERIAL PARA LABORATÓRIO E PESQUISA,"799,35",4.316 CONTRATOS,"7.765.015.650,79"
0035/2022,15.201.000311.2022,21/10/2022,31/12/2022,2,IHGER - 15.0101,49.324.221/0008-80 - FRESENIUS KABI BRASIL LTDA,MEDICAMENTOS,"972.920,00",4.316 CONTRATOS,"7.765.015.650,79"
0045/2022,15.201.001316.2022,20/10/2022,19/10/2023,12,IHGER - 15.0101,00.000.000/0001-91 - BRANCO DO BRASIL S/A,TAXAS BANCÁRIAS,"2.515,00",4.316 CONTRATOS,"7.765.015.650,79"
0060/2022,31.201.000707.2022,20/10/2022,15/09/2023,11,DER - 31.0101,01.299.025/0001-09 - ARCO ENGENHARIA LTDA - EPP,SERVIÇO ESPECIALIZADO NA ÁREA DE ENGENHARIA,"2.883.773,40",4.316 CONTRATOS,"7.765.015.650,79"
0074/2022,26.201.007872.2022,21/10/2022,21/10/2027,60,DETRAN - 26.0101,602.897.674-15 - ALEXANDRE MAURÍCIO DA CRUZ NETO,LOCAÇÃO DE BENS IMÓVEIS,"135.000,00",4.316 CONTRATOS,"7.765.015.650,79"
0076/2022,26.201.016244.2022,21/10/2022,21/10/2023,12,DETRAN - 26.0101,37.224.146/0001-20 - CONSULTÓRIO MÉDICO AV MED - CLIMETO,OUTROS SERVIÇOS ESPECIALIZADOS,"513.509,04",4.316 CONTRATOS,"7.765.015.650,79"
0089/2022,26.000.000035.2022,20/10/2022,31/12/2022,2,SEDS - 26.0001,03.290.250/0006-06 - AGILENT TECHNOLOGIES BRASIL LTDA,EQUIPAMENTOS,"1.031.000,00",4.316 CONTRATOS,"7.765.015.650,79"
0090/2022,26.000.000636.2022,20/10/2022,19/11/2022,1,SEDS - 26.0001,00.879.217/0001-13 - HIDROBRAS IND COM REP EQUIP HIDRAUL LTDA,"OUTROS ÁGUA, ENERGIA E TELEFONE","27.897,30",4.316 CONTRATOS,"7.765.015.650,79"
0108/2022,31.202.002073.2022,20/10/2022,15/09/2023,11,SUPLAN - 31.0201,20.298.792/0001-30 - MULTI CONSTRUÇÕES EIRELI EPP,OBRAS,"459.962,05",4.316 CONTRATOS,"7.765.015.650,79"
0215/2022,31.206.032246.2021,20/10/2022,20/10/2023,12,CAGEPA - 31.0601,34.823.982/0001-33 - PIPEPLAST INDUSTRIA E COMERCIO DE TUBOS E CONEXOES EIRELI,MATERIAL DE USO ESPECÍFICO,"544.238,72",4.316 CONTRATOS,"7.765.015.650,79"
0299/2022,19.000.029877.2019,21/10/2022,31/12/2022,2,SEDH - 27.0001,16.667.433/0001-35 - VTA MACHADO DE ARRUDA E CIA LTDA,MATERIAL DE EXPEDIENTE,"9.200,50",4.316 CONTRATOS,"7.765.015.650,79"
0385/2022,25.000.004799.2022,21/10/2022,31/12/2022,2,SES - 25.0001,09.053.134/0001-45 - ELFA MEDICAMENTOS S.A,MEDICAMENTOS,"4.528.062,00",4.316 CONTRATOS,"7.765.015.650,79"
0386/2022,25.000.007021.2022,21/10/2022,31/12/2022,2,SES - 25.0001,56.998.982/0031-22 - BRISTOL MYERS SQUIBB FARMACEUTICA LTDA,MEDICAMENTOS,"1.984.166,70",4.316 CONTRATOS,"7.765.015.650,79"
0391/2022,25.000.004362.2022,24/10/2022,22/04/2023,6,SES - 25.0001,33.765.573/0001-65 - HOME CARE E CLINICA JK - PRESTAÇÃO DE SERVIÇOS,SERVIÇO ESPECIALIZADO NA ÁREA DE SAÚDE,"105.000,00",4.316 CONTRATOS,"7.765.015.650,79"
0762/2022,19.000.006464.2021,21/10/2022,31/12/2022,2,SEDH - 27.0001,02.688.100/0004-20 - AKIYAMA S.A. INDÚSTRIA E COMÉRCIO DE EQUIPAMENTOS ELETRÔNICOS E SISTEMAS,MATERIAL DE USO ESPECÍFICO,"646.532,60",4.316 CONTRATOS,"7.765.015.650,79"
1-10/2022,31.903.001479.2022,21/10/2022,21/02/2024,16,SEIRH - 31.0001,05.709.906/0001-01 - CONSÓRCIO IGNEO-NIP-PROFILL,SERVIÇO ESPECIALIZADO,"740.972,81",4.316 CONTRATOS,"7.765.015.650,79"
0030/2022,25.234.000028.2022,18/10/2022,18/04/2023,6,LACEN 25.3701,02.771.724/0001-64 - MULT DIAGNOSTICA LTDA ,MATERIAL PARA LABORATÓRIO E PESQUISA,"2.460.000,00",4.316 CONTRATOS,"7.765.015.650,79"
0031/2022,34.204.332022.2022,18/10/2022,18/10/2023,12,PBGÁS - 34.0401,02.189.924/0001-03 - DELOITTE TOUCHE TOHMATSU CONSULTORES LTDA,OUTROS EVENTOS,"121.311,91",4.316 CONTRATOS,"7.765.015.650,79"
0032/2022,19.000.026446.2020,18/10/2022,31/12/2022,2,LACEN 25.3701,19.400.787/0001-07 - QUIBASA QUÍMICA BÁSICA LTDA,MATERIAL PARA LABORATÓRIO E PESQUISA,"19.800,00",4.316 CONTRATOS,"7.765.015.650,79"
0034/2022,19.000.004595.2022,19/10/2022,31/12/2022,2,SEAP - 24.0001,11.893.112/0001-35 - SOS GÁS DISTRIBUIDORA LTDA,GÁS LIQUEFEITO DE PETRÓLEO - GLP,"1.164.513,60",4.316 CONTRATOS,"7.765.015.650,79"
0034/2022,15.201.000347.2022,18/10/2022,31/12/2022,2,IHGER - 15.0101,16.101.397/0001-48 - MERCÚRIO SAÚDE PRODUTOS HOSPITALARES EIRELI ME ,MATERIAL MÉDICO-HOSPITALAR,"289.000,00",4.316 CONTRATOS,"7.765.015.650,79"
0035/2022,25.204.000060.2021,18/10/2022,31/12/2022,2,HPCJM - 25.0401,11.893.112/0001-35 - SOS GÁS DISTRIBUIDORA LTDA,MATERIAL DE CONSUMO,"41.130,00",4.316 CONTRATOS,"7.765.015.650,79"
0040/2022,25.204.000037.2022,18/10/2022,31/12/2022,2,HPCJM - 25.0401,09.647.712/0001-71 - NEW CLEAN INDUSTRIA E COMÉRCIO LTDA,MATERIAL DE CONSUMO,"40.710,00",4.316 CONTRATOS,"7.765.015.650,79"
0058/2022,31.205.005300.2022,18/10/2022,18/06/2023,8,SUDEMA - 34.0101,15.776.046/0001-74 - IGOR SANTANA LUCENA ENGENHARIA E SERVIÇOS EIRELI,SERVIÇO ESPECIALIZADO,"52.848,58",4.316 CONTRATOS,"7.765.015.650,79"
0087/2022,26.000.000380.2022,18/10/2022,17/11/2022,1,SEDS - 26.0001,04.798.838/0001-23 - ANGLASS COMUNICAÇÃO E SINALIZAÇÃO VISUAL,OUTROS MATERIAIS PARA DECORAÇÃO E EVENTOS,"31.020,00",4.316 CONTRATOS,"7.765.015.650,79"
0088/2022,26.000.000029.2022,18/10/2022,31/12/2022,2,SEDS - 26.0001,11.909.227/0001-70 - PROMEGA BIOTECNOLOGIA DO BRASIL LTDA,OUTROS MATERIAIS DE USO ESPECÍFICO,"100.145,60",4.316 CONTRATOS,"7.765.015.650,79"
0106/2022,31.202.002327.2021,19/10/2022,31/12/2022,2,SUPLAN - 31.0201,32.749.332/0001-60 - GEOMAT VENDAS DE MÁQUINAS E EQUIPAMENTOS EIRELI,AQUISIÇÃO E INSTALAÇÃO DE MÁQUINAS E EQUIPAMENTOS,"53.000,00",4.316 CONTRATOS,"7.765.015.650,79"
0107/2022,31.202.002327.2021,19/10/2022,31/12/2022,2,SUPLAN - 31.0201,39.935.802/0001-29 - DRONE AIR COMÉRCIO E SERVIÇOS TECNOLÓGICOS EIRELI,EQUIPAMENTOS,"11.490,00",4.316 CONTRATOS,"7.765.015.650,79"
012//2022,25.000.009322.2022,18/10/2022,16/04/2023,6,SES - 25.0001,33.428.938/0001-66 - MAIS SOLUÇÃO E REPRESENTAÇÃO LTDA.,EQUIPAMENTOS E SOFTWARES DE INFORMÁTICA,"45.400,00",4.316 CONTRATOS,"7.765.015.650,79"
0166/2022,25.215.000073.2022,19/10/2022,31/12/2022,2,HEETSHL - 25.1501,01.640.262/0001-83 - CITOPHARMA MANIPULAÇÃO DE MEDICAMENTOS E ESPECIAIS LTDA,MEDICAMENTOS,"107.040,00",4.316 CONTRATOS,"7.765.015.650,79"
0167/2022,25.215.000073.2022,19/10/2022,31/12/2022,2,HEETSHL - 25.1501,08.100.512/0001-31 - EXPRESSA PRODUTOS CIRURGICOS LTDA,MATERIAL MÉDICO-HOSPITALAR,"8.638,80",4.316 CONTRATOS,"7.765.015.650,79"
0170/2022,25.215.000073.2022,18/10/2022,31/12/2022,2,HEETSHL - 25.1501,21.998.885/0001-30 - MEDIPHACOS INDUSTRIAS MEDICAS S/A,MATERIAL MÉDICO-HOSPITALAR,"43.200,00",4.316 CONTRATOS,"7.765.015.650,79"
0171/2022,25.215.000073.2022,18/10/2022,31/12/2022,2,HEETSHL - 25.1501,03.817.043/0001-52 - PHARMAPLUS LTDA,MATERIAL MÉDICO-HOSPITALAR,"11.376,00",4.316 CONTRATOS,"7.765.015.650,79"
0179/2022,25.203.000524.2022,19/10/2022,31/12/2022,2,MFD- 25.0301,07.484.373/0001-24 - UNI HOSPITALAR LTDA,MATERIAL DE CONSUMO,"831.272,50",4.316 CONTRATOS,"7.765.015.650,79"
0382/2022,25.000.002027.2022,19/10/2022,01/06/2023,8,SES - 25.0001,03.093.776/0007-87 -  MANUPA COMERCIO EXPORTAÇÃO IMPORTAÇÃO DE EQUIPAMENTOS E VEICULOS ADAPTADOS LTDA,AQUISIÇÃO DE BENS MÓVEIS,"2.847.000,00",4.316 CONTRATOS,"7.765.015.650,79"
0383/2022,25.000.1806593.2022,19/10/2022,19/10/2023,12,SES - 25.0001,29.511.607/0001-18 - CONTROL LAB CONTROLE DE QUALIDADE PARA LABORATÓRIOS LTDA,SERVIÇOS,"59.932,92",4.316 CONTRATOS,"7.765.015.650,79"
0009/2022,19.901.000757.2022,14/10/2022,14/10/2023,12,FDRH - 49.0001,17.392.053/0001-06 - PLENITUDE SEGURANÇA PRIVADA LTDA,SERVIÇO ESPECIALIZADO NA ÁREA DE SEGURANÇA,"254.700,00",4.316 CONTRATOS,"7.765.015.650,79"
0019/2022,07.000.000231.2022,17/10/2022,30/06/2023,8,SEJEL - 07.0001,04.428.605/0001-39 - SERVIÇO NACIONAL DE APRENDIZAGEM RURAL - AR/PB,SERVIÇO ESPECIALIZADO NA ÁREA DE EDUCAÇÃO E CULTURA,"245.500,00",4.316 CONTRATOS,"7.765.015.650,79"
0048/2022,19.000.014425.2021,17/10/2022,29/12/2023,14,SEE - 22.0001,"03.230.915/0001-81 - GGS INDUSTRIA, COMERCIO E SERVICOS LTDA",MATERIAL ESCOLAR,"194.417,60",4.316 CONTRATOS,"7.765.015.650,79"
0048/2022,,17/10/2022,17/10/2023,12,PROCON - 09.0301,041.490.322-62 - LETÍCIA CAVALCANTE LIMA ,CESSÃO DE ESTÁGIO CURRICULAR,"9.000,00",4.316 CONTRATOS,"7.765.015.650,79"
0061/2022,,17/10/2022,17/10/2023,12,SUDEMA - 34.0101,016.770.004-90 - KALIANE DOS SANTOS LIMA,CESSÃO DE ESTÁGIO CURRICULAR,"8.136,00",4.316 CONTRATOS,"7.765.015.650,79"
0062/2022,,17/10/2022,17/10/2023,12,SUDEMA - 34.0101,079.179.474-16 - JULIA MENEZES DOS SANTOS,CESSÃO DE ESTÁGIO CURRICULAR,"8.136,00",4.316 CONTRATOS,"7.765.015.650,79"
0068/2022,26.201.019897.2022,17/10/2022,17/10/2023,12,DETRAN - 26.0101,45.500.672/0001-02 - ESPAÇO COGNITIVO DE PSICOLOGIA E SAÚDE - LTDA,OUTROS SERVIÇOS ESPECIALIZADOS,"36.519,12",4.316 CONTRATOS,"7.765.015.650,79"
0069/2022,26.201.013221.2022,17/10/2022,17/10/2023,12,DETRAN - 26.0101,22.939.130/0001-27 - CLIMED SERVIÇOS MÉDICOS-LTDA,OUTROS SERVIÇOS ESPECIALIZADOS,"182.595,60",4.316 CONTRATOS,"7.765.015.650,79"
0070/2022,26.201.006671.2022,17/10/2022,17/10/2023,12,DETRAN - 26.0101,21.613.964/0001-85 - JOALISSON DE ALMEIDA GOMES - CONSTRUCTO,OUTROS SERVIÇOS ESPECIALIZADOS,"109.557,36",4.316 CONTRATOS,"7.765.015.650,79"
0072/2022,26.201.022942.2022,17/10/2022,17/10/2023,12,DETRAN - 26.0101,22.824.266/0001-91 - CLÍNICA DE PSICOLOGIA DE CAMPINA GRANDE LTDA - PSICLIN,OUTROS SERVIÇOS ESPECIALIZADOS,"73.038,24",4.316 CONTRATOS,"7.765.015.650,79"
0073/2022,26.201.019889.2022,17/10/2022,17/10/2023,12,DETRAN - 26.0101,37.541.957/0001-55 - CENTRO MÉDICO MEDTRAFFIC LTDA,OUTROS SERVIÇOS ESPECIALIZADOS,"97.384,32",4.316 CONTRATOS,"7.765.015.650,79"
020//2022,25.000.009331.2022,18/10/2022,16/04/2023,6,SES - 25.0001,38.732.826/0001-18 - DONNOS VENDAS E SERVIÇOS INTEGRADOS LTDA.,EQUIPAMENTOS E SOFTWARES DE INFORMÁTICA,"315.331,00",4.316 CONTRATOS,"7.765.015.650,79"
0378/2022,19.000.015896.2021,17/10/2022,31/12/2022,2,SES - 25.0001,02.513.899/0001-71 - GRIFOLS BRASIL LTDA,MATERIAL PARA LABORATÓRIO E PESQUISA,"182.630,25",4.316 CONTRATOS,"7.765.015.650,79"
0379/2022,25.000.003125.2022,17/10/2022,31/12/2022,2,SES - 25.0001,04.307.650/0012-98 - ONCO PROD DISTRIBUIDORA DE PRODUTOS HOSPITALARES E ONCOLOGICOS LTDA,MEDICAMENTOS,"191.845,80",4.316 CONTRATOS,"7.765.015.650,79"
0380/2022,19.000.011888.2021,18/10/2022,31/12/2022,2,SES - 25.0001,20.873.342/0001-23 - HC COMERCIO DE PAPELARIA E SERVIÇOS EIRELI,MATERIAL DE ESCRITÓRIO,"20.227,00",4.316 CONTRATOS,"7.765.015.650,79"
0387/2022,25.000.004613.2022 ,17/10/2022,17/10/2027,60,SES - 25.0001,34.028.316/0019-32 - EMPRESA BRASILEIRA DE CORREIOS E TELEGRAFOS ,SERVIÇOS,"58.100,00",4.316 CONTRATOS,"7.765.015.650,79"
0709/2022,,17/10/2022,29/06/2023,8,SEDH - 27.0001,28.302.534/0001-91 - JSA COMÉRCIO E SERVIÇOS LTDA,MATERIAL DE USO ESPECÍFICO,"197.357,70",4.316 CONTRATOS,"7.765.015.650,79"
0735/2022,19.000.006464.2021,17/10/2022,31/12/2022,2,SEDH - 27.0001,04.602.789/0001-01 - DATEN TECNOLOGIA LTDA,MATERIAL DE EXPEDIENTE,"70.343,00",4.316 CONTRATOS,"7.765.015.650,79"
0754/2022,27.000.004379.2022,18/10/2022,18/12/2022,2,SEDH - 27.0001,40.576.672/0001-64 - FELLIPE GABRIEL DO NASCIMENTO,MATERIAL DE CONSUMO,"19.450,00",4.316 CONTRATOS,"7.765.015.650,79"
0784/2022,27.000.002087.2022,18/10/2022,18/11/2022,1,SEDH - 27.0001,37.436.542/0001-11 - LEANDRO GABRIEL OLIVEIRA DE SOUZA,MATERIAL DE USO ESPECÍFICO,"25.200,00",4.316 CONTRATOS,"7.765.015.650,79"
0022/2022,23.901.000069.2022,14/10/2022,31/12/2022,2,FUNESBOM - 57.0001 ,15.453.449/0001-82 - RESGATECNICA COMERCIO DE EQUIPAMENTOS DE RESGATE LTDA,MATERIAL DE CONSUMO,"54.000,00",4.316 CONTRATOS,"7.765.015.650,79"
0027/2022,19.000.026480.2020 ,14/10/2022,31/12/2022,2,LACEN 25.3701,22.486.978/0001-48 - J. R. COMÉRCIO E LOCAÇÃO DE VEÍCULOS EIRELI,MATERIAL PARA LABORATÓRIO E PESQUISA,"1.944,00",4.316 CONTRATOS,"7.765.015.650,79"
0027/2022,,13/10/2022,31/12/2022,2,SEFAZ - 20.0001,14.686.366/0001-70 - CONNECT TELEINFORMATICA E CONSULTORIA LTDA,EQUIPAMENTOS E SOFTWARES DE INFORMÁTICA,"727.600,00",4.316 CONTRATOS,"7.765.015.650,79"
0028/2022,19.000.026480.2020 ,14/10/2022,31/12/2022,2,LACEN 25.3701,22.280.916/0001-85 - NORDESTE POTENCIAL COMÉRCIO E SERVIÇOS EIRELI ,MATERIAL PARA LABORATÓRIO E PESQUISA,"2.570,00",4.316 CONTRATOS,"7.765.015.650,79"
0029/2022,19.000.026480.2020 ,14/10/2022,31/12/2022,2,LACEN 25.3701,07.631.411/0001-24 - MJ COMÉRCIO DE MÓVEIS EIRELI ,MATERIAL PARA LABORATÓRIO E PESQUISA,"22,75",4.316 CONTRATOS,"7.765.015.650,79"
0029/2022,15.201.000335.2022,11/10/2022,31/12/2022,2,IHGER - 15.0101,22.958.146/0001-87 - MEDHOSTER COMÉRCIO DE PRODUTOS ,MATERIAL DE CONSUMO,"296.541,00",4.316 CONTRATOS,"7.765.015.650,79"
0036/2022,19.000.015769.2022,11/10/2022,31/12/2022,2,SEAP - 24.0001,11.442.327/0001-30 - RENATA VON STEIN EQUIPAMENTOS INDÚSTRIAIS LTDA,MÁQUINAS E EQUIPAMENTOS,"219.995,00",4.316 CONTRATOS,"7.765.015.650,79"
0039/2022,19.000.029880.2022,13/10/2022,31/12/2022,2,CPAM - 25.0601,16.667.433/0001-35 - VTA MACHADO DE ARRUDA E CIA LTDA.,MATERIAL DE LIMPEZA E EMBALAGEM,"41.568,00",4.316 CONTRATOS,"7.765.015.650,79"
0047/2022,190000144252021,13/10/2022,30/06/2023,8,SEE - 22.0001,24.728.467/0001-10 - NS KARYDI INDÚSTRIA E COMÉRCIO LTDA,PRODUTOS PARA VESTUÁRIO E CALÇADO,"5.078.864,00",4.316 CONTRATOS,"7.765.015.650,79"
0070/2022,25.510.009024.2022,14/10/2022,13/10/2023,12,FPGS 25.5101,01.449.930/0001-90 - SIEMENS HEALTHCARE DIAGNÓSTICO LTDA,MANUTENÇÃO E RECUPERAÇÃO,"372.616,10",4.316 CONTRATOS,"7.765.015.650,79"
0367/2022,25.000.001109.2022,13/10/2022,13/10/2023,12,SES - 25.0001,34.746.608/0001-81 - ABIK ENGENHARIA E CONSULTORIA LTDA ME,OUTRAS OBRAS ESPECÍFICAS,"408.363,93",4.316 CONTRATOS,"7.765.015.650,79"
0368/2022,25.000.004570.2022,13/10/2022,31/12/2022,2,SES - 25.0001,43.219.256/0001-05 - LIFE CLEAN - COMÉRCIO DE EQUIPAMENTOS LTDA - ME,MATERIAL DE LIMPEZA E EMBALAGEM,"9.500,00",4.316 CONTRATOS,"7.765.015.650,79"
0369/2022,25.000.004570.2022,13/10/2022,31/12/2022,2,SES - 25.0001,08.158.664/0001-95 - INDUSTRIA E COMÉRCIO DE PRODUTOS DE LIMPEZA CAMPINENSE LTDA - ME,MATERIAL DE LIMPEZA E EMBALAGEM,"17.268,00",4.316 CONTRATOS,"7.765.015.650,79"
